Haley Bennett | 
Joan Bennett | 
Amber Benson | https://twitter.com/amber_benson
Ashley Benson | https://twitter.com/AshBenzo
Julie Benz | http://twitter.com/juliebenz
Candice Bergen | 
Elizabeth Berkley | 
Jeannie Berlin | 
Crystal Bernard | 
Sandra Bernhard | https://twitter.com/SandraBernhard
Halle Berry | 
Valerie Bertinelli | 
Angela Bettis | 
Troy Beyer | 
Leslie Bibb | 
Jessica Biel | https://twitter.com/JessicaBiel
Barbara Billingsley | 
Rachel Bilson | 
Traci Bingham | 
Thora Birch | 
Kerry Bishé | 
Summer Bishil | 
Karen Black | 
Joan Blackman | 
Betsy Blair | 
Linda Blair | 
Patricia Blair | 
Selma Blair | 
Amanda Blake | 
Ronee Blakley | 
Jolene Blalock | 
Tammy Blanchard | 
Alexis Bledel | https://twitter.com/alexisbledel
Yasmine Bleeth | 
Joan Blondell | 
Nikki Blonsky | 
Moon Bloodgood | 
Ann Blyth | 
Eleanor Boardman | 
Mary Boland | 
Julia Bond | 
Beulah Bondi | 
Lisa Bonet | 
Shirley Booth | 
Olive Borden | 
Michelle Borth | 
Rachel Boston | https://twitter.com/rachelboston
Kate Bosworth | 
Barbara Bouchet | 
Clara Bow | 
Katrina Bowden | https://twitter.com/KatrinaKBowden
Andrea Bowen | 
Julie Bowen | 
Lara Flynn Boyle | 
Jessica Bowman | 
Lorraine Bracco | 
Alice Brady | 
Alexandra Breckenridge | 
Tracey E. Bregman | 
Eileen Brennan | 
Amy Brenneman | https://twitter.com/TheAmyBrenneman
Abigail Breslin | 
Jordana Brewster | https://twitter.com/JordanaBrewster
Paget Brewster | https://twitter.com/pagetpaget
Chloe Bridges | https://twitter.com/ChloeBridges
Alison Brie | 
Connie Britton | 
Beth Broderick | 
Jayne Brook | 
Geraldine Brooks (actress) | 
Louise Brooks | 
Blair Brown | 
Yvette Nicole Brown | https://twitter.com/yvettenbrown
Leslie Browne | 
Logan Browning | 
Sabrina Bryan | 
Joy Bryant | 
Tara Buck | 
Betty Buckley | 
Sandra Bullock | 
Billie Burke | 
Delta Burke | 
Carol Burnett | 
Brooke Burns | 
Catherine Burns | 
Ellen Burstyn | 
Hilarie Burton | 
Sophia Bush | 
Brett Butler (actress) | 
Yancy Butler | 
Spring Byington | 
Amanda Bynes | 
Marion Byron | 
Sarah Wayne Callies | 
Anna Camp | https://twitter.com/TheRealAnnaCamp
Christa Campbell | 
Danielle Campbell | https://twitter.com/daniellemcam
Tisha Campbell | 
Dyan Cannon | 
Lizzy Caplan | 
Kate Capshaw | 
Irene Cara | 
Gina Carano | 
Linda Cardellini | 
Lynn Carlin | 
Kitty Carlisle | 
Kelly Carlson | 
Sue Carol | 
Charisma Carpenter | https://twitter.com/AllCharisma
Jennifer Carpenter | https://twitter.com/J2thecarpenter
Barbara Carrera | 
Tia Carrere | https://twitter.com/TiaCarrere
Dixie Carter | 
Lynda Carter | 
Diahann Carroll | 
Madeline Carroll | https://twitter.com/IMMaddieCarroll
Nancy Carroll | 
Rosalind Cash | 
Peggy Cass | 
Joanna Cassidy | 
Katie Cassidy | https://twitter.com/MzKatieCassidy
Peggie Castle | 
Phoebe Cates | 
Jessica Cauffiel | 
Emma Caulfield | https://twitter.com/emmacaulfield
Lacey Chabert | https://twitter.com/IamLaceyChabert
Carol Channing | 
Stockard Channing | 
Cyd Charisse | 
Annette Charles | 
Daveigh Chase | 
Jessica Chastain | 
Ruth Chatterton | 
Kristin Chenoweth | 
Cher | 
Vanessa Lee Chester | 
Lois Chiles | 
Anna Chlumsky | 
Erika Christensen | 
Claudia Christian | 
Jamie Chung | https://twitter.com/jamiechung1
Candy Clark | 
Judy Clark | 
Melinda Clarke | https://twitter.com/TheRealMsClarke
Sarah Clarke | 
Patricia Clarkson | 
Jill Clayburgh | 
Rosemary Clooney | 
Glenn Close | 
Lauren Cohan | 
Claudette Colbert | 
Taylor Cole | 
Tina Cole | 
Holliston Coleman | 
Kim Coles | 
Lynn Collins | 
Holly Marie Combs | https://twitter.com/H_Combs
Betty Compson | 
Julie Condra | 
Michaela Conlin | 
Jennifer Connelly | 
Rachael Leigh Cook | https://twitter.com/RachaelLCook
Jennifer Coolidge | 
Teri Copley | 
Gretchen Corbett | 
Ellen Corby | 
Mara Corday | 
Miranda Cosgrove | https://twitter.com/MirandaCosgrove
Stephanie Courtney | 
Laverne Cox | 
Courteney Cox | https://twitter.com/CourteneyCox
Nikki Cox | 
Yvonne Craig | 
Jeanne Crain | 
Barbara Crampton | https://twitter.com/barbaracrampton
Joan Crawford | 
Cathy Lee Crosby | 
Denise Crosby | 
Mary Crosby | 
Marcia Cross | 
Lindsay Crouse | 
Suzanne Cryer | 
Erin Cummings | 
Quinn Cummings | 
Kaley Cuoco | https://twitter.com//KaleyCuoco
Jane Curtin | 
Jamie Lee Curtis | 
Ann Cusack | 
Joan Cusack | https://twitter.com/realjoancusack
Tawny Cypress | 
Miley Cyrus | 
